	source_pid	source_ptitle	target_pid	target_ptitle	mean_score	source_ptitle_de	target_ptitle_de	source_ptitle_fa	target_ptitle_fa	source_ptitle_fr	target_ptitle_fr	source_ptitle_it	target_ptitle_it	source_ptitle_ja	target_ptitle_ja	source_ptitle_pl	target_ptitle_pl	source_ptitle_ru	target_ptitle_ru
13	20455	Michael_Jordan	22093	National_Basketball_Association	90.0	Michael_Jordan	National_Basketball_Association	مایکل_جردن	اتحادیه_ملی_بسکتبال	Michael_Jordan	National_Basketball_Association	Michael_Jordan	NBA	マイケル・ジョーダン	NBA	Michael_Jordan	National_Basketball_Association	Джордан,_Майкл	Национальная_баскетбольная_ассоциация
14	17546	Louvre	22989	Paris	89.8	Louvre	Paris	لوور	پاریس	Musée_du_Louvre	Paris	Museo_del_Louvre	Parigi	ルーヴル美術館	パリ	Luwr	Paryż	Лувр	Париж
15	44849	Brad_Pitt	52711	Leonardo_DiCaprio	89.8	Brad_Pitt	Leonardo_DiCaprio	برد_پیت	لئوناردو_دی‌کاپریو	Brad_Pitt	Leonardo_DiCaprio	Brad_Pitt	Leonardo_DiCaprio	ブラッド・ピット	レオナルド・ディカプリオ	Brad_Pitt	Leonardo_DiCaprio	Питт,_Брэд	Ди_Каприо,_Леонардо
16	63639	Volga	21244	Nile	89.75	Wolga	Nil	رود_ولگا	نیل	Volga	Nil	Volga	Nilo	ヴォルガ川	ナイル川	Wołga	Nil	Волга	Нил
17	14532	Italy	5843419	France	89.0	Italien	Frankreich	ایتالیا	فرانسه	Italie	France	Italia	Francia	イタリア	フランス	Włochy	Francja	Италия	Франция
18	462535	Blue_Ridge_Mountains	468224	Catskill_Mountains	88.8	Blue_Ridge_Mountains	Catskill_Mountains	کوهستان_بلو_ریدج		Montagnes_Blue_Ridge	Montagnes_Catskill	Monti_Blue_Ridge	Monti_Catskill	ブルーリッジ山脈	キャッツキル山地	Pasmo_Błękitne	Catskill_(góry)	Голубой_хребет	Катскилл_(горы)
19	349679	Technical_University_of_Munich	340454	Leipzig_University	88.75	Technische_Universität_München	Universität_Leipzig	دانشگاه_فنی_مونیخ	دانشگاه_لایپزیگ	Université_technique_de_Munich	Université_de_Leipzig	Università_tecnica_di_Monaco	Università_di_Lipsia	ミュンヘン工科大学	ライプツィヒ大学	Uniwersytet_Techniczny_w_Monachium	Uniwersytet_w_Lipsku	Мюнхенский_технический_университет	Лейпцигский_университет
20	19004	Moscow	381075	Moscow_Kremlin	88.5	Moskau	Moskauer_Kreml	مسکو	کرملین_مسکو	Moscou	Kremlin_de_Moscou	Mosca_(Russia)	Cremlino_di_Mosca	モスクワ	クレムリン	Moskwa	Kreml_moskiewski	Москва	Московский_Кремль
21	23964683	University_of_Missouri	77958	University_of_North_Carolina_at_Greensboro	88.25	University_of_Missouri	University_of_North_Carolina_at_Greensboro	دانشگاه_میزوری	دانشگاه_کارولینای_شمالی_در_گرینزبورو	Université_du_Missouri_à_Columbia	Université_de_Caroline_du_Nord_à_Greensboro	Università_del_Missouri		ミズーリ大学コロンビア校		Uniwersytet_Missouri		Миссурийский_университет	
22	9316	England	25978572	University_of_Cambridge	86.75	England	University_of_Cambridge	انگلستان	دانشگاه_کمبریج	Angleterre	Université_de_Cambridge	Inghilterra	Università_di_Cambridge	イングランド	ケンブリッジ大学	Anglia	University_of_Cambridge	Англия	Кембриджский_университет
23	10363	European_Space_Agency	1019722	Indian_Space_Research_Organisation	86.5	Europäische_Weltraumorganisation	Indian_Space_Research_Organisation	آژانس_فضایی_اروپا	سازمان_پژوهش‌های_فضایی_هند	Agence_spatiale_européenne	Organisation_indienne_pour_la_recherche_spatiale	Agenzia_spaziale_europea	Indian_Space_Research_Organisation	欧州宇宙機関	インド宇宙研究機関	Europejska_Agencja_Kosmiczna	Indyjska_Organizacja_Badań_Kosmicznych	Европейское_космическое_агентство	Индийская_организация_космических_исследований
24	26413	Real_Madrid_CF	68187	FC_Barcelona	86.5	Real_Madrid	FC_Barcelona	باشگاه_فوتبال_رئال_مادرید	باشگاه_فوتبال_بارسلونا	Real_Madrid_Club_de_Fútbol	FC_Barcelone_(football)	Real_Madrid_Club_de_Fútbol	Futbol_Club_Barcelona	レアル・マドリード	FCバルセロナ	Real_Madryt	FC_Barcelona	Реал_Мадрид_(футбольный_клуб)	Барселона_(футбольный_клуб)
25	19698439	Oxfam	450053	Habitat_for_Humanity	86.5	Oxfam	Habitat_for_Humanity	آکسفام		Oxfam_International	Habitat_for_Humanity_International	Oxfam		オックスファム		Oxfam	Habitat_for_Humanity	Оксфам	Habitat_for_Humanity_International
26	3356	Bill_Clinton	13076	Gordon_Brown	86.4	Bill_Clinton	Gordon_Brown	بیل_کلینتون	گوردون_براون	Bill_Clinton	Gordon_Brown	Bill_Clinton	Gordon_Brown	ビル・クリントン	ゴードン・ブラウン	Bill_Clinton	Gordon_Brown	Клинтон,_Билл	Браун,_Гордон
27	36649	Mount_St._Helens	13015878	Washington_(state)	86.25	Mount_St._Helens	Washington_(Bundesstaat)	کوه_سنت_هلن	واشینگتن_(ایالت)	Mont_Saint_Helens	Washington_(État)	Monte_Saint_Helens	Washington_(stato)	セント・ヘレンズ山	ワシントン州	Mount_St._Helens	Waszyngton_(stan)	Сент-Хеленс	Вашингтон_(штат)
28	7955325	University_of_Toronto	31922	University_of_California,_Berkeley	86.25	University_of_Toronto	University_of_California,_Berkeley	دانشگاه_تورنتو	دانشگاه_کالیفرنیا،_برکلی	Université_de_Toronto	Université_de_Californie_à_Berkeley	Università_di_Toronto	Università_della_California,_Berkeley	トロント大学	カリフォルニア大学バークレー校	University_of_Toronto	Uniwersytet_Kalifornijski_w_Berkeley	Торонтский_университет	Калифорнийский_университет_в_Беркли
29	10979	Franklin_D._Roosevelt	25433	Ronald_Reagan	86.0	Franklin_D._Roosevelt	Ronald_Reagan	فرانکلین_دلانو_روزولت	رونالد_ریگان	Franklin_Delano_Roosevelt	Ronald_Reagan	Franklin_Delano_Roosevelt	Ronald_Reagan	フランクリン・ルーズベルト	ロナルド・レーガン	Franklin_Delano_Roosevelt	Ronald_Reagan	Рузвельт,_Франклин_Делано	Рейган,_Рональд
30	19058	Munich	172326	FC_Bayern_Munich	85.6	München	FC_Bayern_München	مونیخ	باشگاه_فوتبال_بایرن_مونیخ	Munich	Bayern_Munich	Monaco_di_Baviera	Fußball-Club_Bayern_München	ミュンヘン	FCバイエルン・ミュンヘン	Monachium	Bayern_Monachium	Мюнхен	Бавария_(футбольный_клуб)
31	3301347	Tony_Blair	31717	United_Kingdom	85.4	Tony_Blair	Vereinigtes_Königreich	تونی_بلر	بریتانیا	Tony_Blair	Royaume-Uni	Tony_Blair	Regno_Unito	トニー・ブレア	イギリス	Tony_Blair	Wielka_Brytania	Блэр,_Тони	Великобритания
32	25391	Russia	66488	Moscow_Metro	85.4	Russland	Metro_Moskau	روسیه	متروی_مسکو	Russie	Métro_de_Moscou	Russia	Metropolitana_di_Mosca	ロシア	モスクワ地下鉄	Rosja	Metro_w_Moskwie	Россия	Московский_метрополитен
33	3970	British_Airways	89659	Aeroflot	85.4	British_Airways	Aeroflot	بریتیش_ایرویز	آئروفلوت	British_Airways	Aeroflot	British_Airways	Aeroflot	ブリティッシュ・エアウェイズ	アエロフロート・ロシア航空	British_Airways	Aerofłot	British_Airways	Аэрофлот_—_Российские_авиалинии
34	229765	Vatican_Museums	606848	Catholic_Church	85.25	Vatikanische_Museen	Römisch-katholische_Kirche	موزه‌های_واتیکان	کلیسای_کاتولیک	Musées_du_Vatican	Église_catholique	Musei_Vaticani	Chiesa_cattolica	バチカン美術館	カトリック教会	Muzea_Watykańskie	Kościół_katolicki	Музеи_Ватикана	Католическая_церковь
35	21209639	Danube	49031	River_Thames	84.6	Donau	Themse	دانوب	تیمز	Danube	Tamise	Danubio	Tamigi	ドナウ川	テムズ川	Dunaj	Tamiza	Дунай	Темза
36	61999	Danielle_Steel	9428	Ernest_Hemingway	84.25	Danielle_Steel	Ernest_Hemingway	دانیل_استیل	ارنست_همینگوی	Danielle_Steel	Ernest_Hemingway	Danielle_Steel	Ernest_Hemingway	ダニエル・スティール	アーネスト・ヘミングウェイ	Danielle_Steel	Ernest_Hemingway	Стил,_Даниэла	Хемингуэй,_Эрнест
37	12108	Greece	12418604	Mount_Olympus	84.2	Griechenland	Olymp	یونان	المپ	Grèce	Mont_Olympe	Grecia	Olimpo	ギリシャ	オリンポス山	Grecja	Olimp	Греция	Олимп
38	23041	Puerto_Rico	5042481	Cuba	83.2	Puerto_Rico	Kuba	پورتوریکو	کوبا	Porto_Rico	Cuba	Porto_Rico	Cuba	プエルトリコ	キューバ	Portoryko	Kuba	Пуэрто-Рико	Куба
39	235888	Jon_Stewart	418944	Glenn_Beck	81.75	Jon_Stewart_(Schauspieler)	Glenn_Beck	جان_استوارت_(مجری_تلویزیونی)	گلن_بک	Jon_Stewart	Glenn_Beck	Jon_Stewart		ジョン・スチュワート_(コメディアン)	グレン・ベック	Jon_Stewart		Стюарт,_Джон_(телеведущий)	Бек,_Гленн
40	288140	Maya_Angelou	200734	Bell_hooks	81.6	Maya_Angelou	Bell_hooks	مایا_آنجلو	بل_هوکس	Maya_Angelou	Bell_hooks	Maya_Angelou	Bell_hooks	マヤ・アンジェロウ	ベル・フックス	Maya_Angelou	Bell_hooks	Энджелоу,_Майя	Белл_хукс
41	76972	Denmark	9239	Europe	81.0	Dänemark	Europa	دانمارک	اروپا	Danemark	Europe	Danimarca	Europa	デンマーク	ヨーロッパ	Dania	Europa	Дания	Европа
42	308	Aristotle	12108	Greece	81.0	Aristoteles	Griechenland	ارسطو	یونان	Aristote	Grèce	Aristotele	Grecia	アリストテレス	ギリシャ	Arystoteles	Grecja	Аристотель	Греция
43	20076	Martin_Luther_King_Jr.	26458	Rosa_Parks	80.6	Martin_Luther_King	Rosa_Parks	مارتین_لوتر_کینگ_جونیور	رزا_پارکس	Martin_Luther_King	Rosa_Parks	Martin_Luther_King	Rosa_Parks	マーティン・ルーサー・キング・ジュニア	ローザ・パークス	Martin_Luther_King	Rosa_Parks	Кинг,_Мартин_Лютер	Паркс,_Роза
44	16743	Karl_Marx	15641	Joseph_Stalin	80.25	Karl_Marx	Josef_Stalin	کارل_مارکس	ژوزف_استالین	Karl_Marx	Joseph_Staline	Karl_Marx	Iosif_Stalin	カール・マルクス	ヨシフ・スターリン	Karl_Marx	Józef_Stalin	Маркс,_Карл	Сталин,_Иосиф_Виссарионович
45	534366	Barack_Obama	43715	John_McCain	79.8	Barack_Obama	John_McCain	باراک_اوباما	جان_مک‌کین	Barack_Obama	John_McCain	Barack_Obama	John_McCain	バラク・オバマ	ジョン・マケイン	Barack_Obama	John_McCain	Обама,_Барак	Маккейн,_Джон
46	275519	Matterhorn	42179	Mount_Everest	79.75	Matterhorn	Mount_Everest	ماترهورن	کوه_اورست	Cervin	Everest	Cervino	Everest	マッターホルン	エベレスト	Matterhorn	Mount_Everest	Маттерхорн	Джомолунгма
47	17888	Leon_Trotsky	11625	Fyodor_Dostoevsky	79.4	Leo_Trotzki	Fjodor_Michailowitsch_Dostojewski	لئون_تروتسکی	فیودور_داستایفسکی	Léon_Trotski	Fiodor_Dostoïevski	Lev_Trockij	Fëdor_Dostoevskij	レフ・トロツキー	フョードル・ドストエフスキー	Lew_Trocki	Fiodor_Dostojewski	Троцкий,_Лев_Давидович	Достоевский,_Фёдор_Михайлович
48	4497	Bugatti	6882	Chrysler	78.5	Bugatti	Chrysler	بوگاتی	کرایسلر		Stellantis_North_America		FCA_US	ブガッティ	クライスラー		Chrysler		Chrysler
49	153295	Daniel_Radcliffe	166959	Matt_Damon	78.5	Daniel_Radcliffe	Matt_Damon	دنیل_ردکلیف	مت_دیمون	Daniel_Radcliffe	Matt_Damon	Daniel_Radcliffe	Matt_Damon	ダニエル・ラドクリフ	マット・デイモン	Daniel_Radcliffe	Matt_Damon	Рэдклифф,_Дэниел	Деймон,_Мэтт
50	61603	Gondor	58644	Nazgûl	77.8	Gondor	Nazgûl	گاندور	نازگول	Gondor	Nazgûl	Gondor	Nazgûl	ゴンドール	指輪の幽鬼	Gondor	Upiory_Pierścienia	Гондор	Назгулы
51	14531	Iceland	12118	Greenland	77.75	Island	Grönland	ایسلند	گرینلند	Islande	Groenland	Islanda	Groenlandia	アイスランド	グリーンランド	Islandia	Grenlandia	Исландия	Гренландия_(административная_единица)
52	19008577	William_Shatner	363856	George_Takei	77.75	William_Shatner	George_Takei	ویلیام_شاتنر	جرج_تاکی	William_Shatner	George_Takei	William_Shatner	George_Takei	ウィリアム・シャトナー	ジョージ・タケイ	William_Shatner	George_Takei	Шетнер,_Уильям	Такэй,_Джордж
53	3383	Brazil	24363836	Bric	77.25	Brasilien		برزیل		Brésil		Brasile	Bric	ブラジル		Brazylia		Бразилия	
54	964226	Shanghai_Sharks	72895	Phoenix_Suns	76.4		Phoenix_Suns		فینیکس_سانز	Shanghai_Sharks	Suns_de_Phoenix	Shanghai_Sharks	Phoenix_Suns	上海嗶哩嗶哩籃球倶楽部	フェニックス・サンズ		Phoenix_Suns	Шанхай_Шаркс	Финикс_Санз
55	63639	Volga	380138	Dnieper	76.0	Wolga	Dnepr	رود_ولگا	رود_دنیپر	Volga	Dniepr	Volga	Dnepr	ヴォルガ川	ドニエプル川	Wołga	Dniepr	Волга	Днепр
56	1950	American_Civil_Liberties_Union	25624937	NAACP	76.0	American_Civil_Liberties_Union	National_Association_for_the_Advancement_of_Colored_People	اتحادیه_آزادی‌های_مدنی_آمریکا	انجمن_ملی_پیشرفت_رنگین‌پوستان	Union_américaine_pour_les_libertés_civiles	National_Association_for_the_Advancement_of_Colored_People	American_Civil_Liberties_Union	National_Association_for_the_Advancement_of_Colored_People	アメリカ自由人権協会	全米黒人地位向上協会	American_Civil_Liberties_Union	Krajowe_Stowarzyszenie_na_rzecz_Popierania_Ludności_Kolorowej	Американский_союз_защиты_гражданских_свобод	Национальная_ассоциация_содействия_прогрессу_цветного_населения
57	15782	Jane_Austen	9549	Edgar_Allan_Poe	75.5	Jane_Austen	Edgar_Allan_Poe	جین_آستن	ادگار_آلن_پو	Jane_Austen	Edgar_Allan_Poe	Jane_Austen	Edgar_Allan_Poe	ジェイン・オースティン	エドガー・アラン・ポー	Jane_Austen	Edgar_Allan_Poe	Остин,_Джейн	По,_Эдгар_Аллан
58	4345474	American_Red_Cross	581673	American_Heart_Association	75.5	Amerikanisches_Rotes_Kreuz	American_Heart_Association	صلیب_سرخ_آمریکا	انجمن_قلب_آمریکا	Croix-Rouge_américaine	American_Heart_Association	Croce_Rossa_Americana	American_Heart_Association	アメリカ赤十字社	アメリカ心臓協会	Amerykański_Czerwony_Krzyż		Американский_Красный_Крест	Американская_кардиологическая_ассоциация
59	21648	New_Jersey	23922	Princeton_University	75.25	New_Jersey	Princeton_University	نیوجرسی	دانشگاه_پرینستون	New_Jersey	Université_de_Princeton	New_Jersey	Università_di_Princeton	ニュージャージー州	プリンストン大学	New_Jersey	Uniwersytet_Princeton	Нью-Джерси	Принстонский_университет
60	961213	Shanghai_Art_Museum	27643	Shanghai	75.2	Kunstmuseum_Shanghai	Shanghai		شانگهای	Musée_des_Beaux-Arts_de_Shanghai	Shanghai		Shanghai	上海美術館	上海市		Szanghaj	Шанхайский_художественный_музей	Шанхай
61	210815	Royal_Swedish_Academy_of_Sciences	23883046	Indian_Institutes_of_Technology	75.2	Königlich_Schwedische_Akademie_der_Wissenschaften	Indian_Institute_of_Technology	فرهنگستان_پادشاهی_علوم_سوئد	مؤسسات_فناوری_هند	Académie_royale_des_sciences_de_Suède	Institut_indien_de_technologie	Accademia_reale_svedese_delle_scienze		スウェーデン王立科学アカデミー	インド工科大学	Królewska_Szwedzka_Akademia_Nauk		Шведская_королевская_академия_наук	Индийский_институт_технологии
62	70718	Ivan_the_Terrible	25391	Russia	75.0	Iwan_IV._(Russland)	Russland	ایوان_چهارم	روسیه	Ivan_le_Terrible	Russie	Ivan_IV_di_Russia	Russia	イヴァン4世	ロシア	Iwan_IV_Groźny	Rosja	Иван_Грозный	Россия
63	2150841	Lionel_Messi	218947	Derek_Jeter	75.0	Lionel_Messi	Derek_Jeter	لیونل_مسی	درک_جتر	Lionel_Messi	Derek_Jeter	Lionel_Messi	Derek_Jeter	リオネル・メッシ	デレク・ジーター	Lionel_Messi	Derek_Jeter	Месси,_Лионель	Джитер,_Дерек
64	26909	Silvio_Berlusconi	25433	Ronald_Reagan	74.8	Silvio_Berlusconi	Ronald_Reagan	سیلویو_برلوسکونی	رونالد_ریگان	Silvio_Berlusconi	Ronald_Reagan	Silvio_Berlusconi	Ronald_Reagan	シルヴィオ・ベルルスコーニ	ロナルド・レーガン	Silvio_Berlusconi	Ronald_Reagan	Берлускони,_Сильвио	Рейган,_Рональд
65	21241	Norway	76972	Denmark	74.5	Norwegen	Dänemark	نروژ	دانمارک	Norvège	Danemark	Norvegia	Danimarca	ノルウェー	デンマーク	Norwegia	Dania	Норвегия	Дания
66	512737	German_Army	156879	Spanish_Navy	74.5	Heer_(Bundeswehr)	Armada_Española	ارتش_آلمان	نیروی_دریایی_اسپانیا	Heer_(Bundeswehr)	Armada_espagnole	Heer_(Bundeswehr)	Armada_Española	ドイツ陸軍_(ドイツ連邦軍)	スペイン海軍	Heer	Armada_Española	Сухопутные_войска_Германии	Военно-морские_силы_Испании
67	9464813	Mikhail_Bulgakov_Museum	19004	Moscow	74.25	Michail-Bulgakow-Museum	Moskau		مسکو	Musée_Mikhaïl_Boulgakov	Moscou		Mosca_(Russia)		モスクワ		Moskwa	Дом_Турбиных	Москва
68	534366	Barack_Obama	5043192	Hillary_Clinton	74.25	Barack_Obama	Hillary_Clinton	باراک_اوباما	هیلاری_کلینتون	Barack_Obama	Hillary_Clinton	Barack_Obama	Hillary_Clinton	バラク・オバマ	ヒラリー・クリントン	Barack_Obama	Hillary_Clinton	Обама,_Барак	Клинтон,_Хиллари
69	1095706	Jesus	3395	Gautama_Buddha	74.2	Jesus_Christus	Siddhartha_Gautama	عیسی	گوتاما_بودا	Jésus-Christ	Siddhartha_Gautama	Gesù	Gautama_Buddha	イエス・キリスト	釈迦	Jezus_Chrystus	Budda_Siakjamuni	Иисус_Христос	Будда_Шакьямуни
70	159599	Ben_Affleck	649484	Rosario_Dawson	74.0	Ben_Affleck	Rosario_Dawson	بن_افلک	رزاریو_داوسون	Ben_Affleck	Rosario_Dawson	Ben_Affleck	Rosario_Dawson	ベン・アフレック	ロザリオ・ドーソン	Ben_Affleck	Rosario_Dawson	Аффлек,_Бен	Доусон,_Розарио
71	10287	Hirohito	30057	Tokyo	73.6	Hirohito	Präfektur_Tokio	هیروهیتو	توکیو	Hirohito	Tokyo	Hirohito	Tokyo	昭和天皇	東京都	Hirohito	Tokio	Хирохито	Токио
72	9906294	Johann_Sebastian_Bach	6260	Claude_Debussy	73.0	Johann_Sebastian_Bach	Claude_Debussy	یوهان_سباستیان_باخ	کلود_دبوسی	Jean-Sébastien_Bach	Claude_Debussy	Johann_Sebastian_Bach	Claude_Debussy	ヨハン・ゼバスティアン・バッハ	クロード・ドビュッシー	Johann_Sebastian_Bach	Claude_Debussy	Бах,_Иоганн_Себастьян	Дебюсси,_Клод
73	14653	Iran	159999	University_of_Tehran	72.2	Iran	Universität_Teheran	ایران	دانشگاه_تهران	Iran	Université_de_Téhéran	Iran	Università_di_Teheran	イラン	テヘラン大学	Iran	Uniwersytet_Teherański	Иран	Тегеранский_университет
74	27318	Singapore	17752	Laos	71.5	Singapur	Laos	سنگاپور	لائوس	Singapour	Laos	Singapore	Laos	シンガポール	ラオス	Singapur	Laos	Сингапур	Лаос
75	22278	Ottoman_Empire	11125639	Turkey	71.2	Osmanisches_Reich	Türkei	امپراتوری_عثمانی	ترکیه	Empire_ottoman	Turquie	Impero_ottomano	Turchia	オスマン帝国	トルコ	Imperium_Osmańskie	Turcja	Османская_империя	Турция
76	63747	Muhammad_Ali	93729	World_Boxing_Organization	71.0	Muhammad_Ali	World_Boxing_Organization	محمد_علی_کلی	سازمان_جهانی_بوکس	Mohamed_Ali	World_Boxing_Organization	Muhammad_Ali	World_Boxing_Organization	モハメド・アリ	世界ボクシング機構	Muhammad_Ali_(amerykański_bokser)	World_Boxing_Organization	Али,_Мухаммед	Всемирная_боксёрская_организация
77	460349	Ralph_Lauren	175855	Karl_Lagerfeld	70.5	Ralph_Lauren	Karl_Lagerfeld	رالف_لورن	کارل_لاگرفلد	Ralph_Lauren	Karl_Lagerfeld	Ralph_Lauren	Karl_Lagerfeld	ラルフ・ローレン	カール・ラガーフェルド	Ralph_Lauren	Karl_Lagerfeld	Лорен,_Ральф	Лагерфельд,_Карл
78	15924	Julius_Caesar	753281	Roman_army	69.75	Gaius_Iulius_Caesar		ژولیوس_سزار	ارتش_روم	Jules_César	Armée_romaine	Gaio_Giulio_Cesare	Esercito_romano	ガイウス・ユリウス・カエサル	ローマ軍	Gajusz_Juliusz_Cezar	Armia_rzymska	Гай_Юлий_Цезарь	Древнеримская_армия
79	5042916	Canada	12118	Greenland	69.75	Kanada	Grönland	کانادا	گرینلند	Canada	Groenland	Canada	Groenlandia	カナダ	グリーンランド	Kanada	Grenlandia	Канада	Гренландия_(административная_единица)
80	99340	Sergei_Rachmaninoff	9906294	Johann_Sebastian_Bach	69.25	Sergei_Wassiljewitsch_Rachmaninow	Johann_Sebastian_Bach	سرگئی_راخمانینف	یوهان_سباستیان_باخ	Sergueï_Rachmaninov	Jean-Sébastien_Bach	Sergej_Vasil'evič_Rachmaninov	Johann_Sebastian_Bach	セルゲイ・ラフマニノフ	ヨハン・ゼバスティアン・バッハ	Siergiej_Rachmaninow	Johann_Sebastian_Bach	Рахманинов,_Сергей_Васильевич	Бах,_Иоганн_Себастьян
81	265949	Qianlong_Emperor	241636	Cao_Cao	69.2	Qianlong	Cao_Cao	امپراتور_چیان‌لونگ	سائو_سائو	Qianlong	Cao_Cao	Qianlong	Cáo_Cāo	乾隆帝	曹操	Qianlong	Cao_Cao	Цяньлун	Цао_Цао
82	2150841	Lionel_Messi	33422	Wayne_Gretzky	68.75	Lionel_Messi	Wayne_Gretzky	لیونل_مسی	وین_گرتسکی	Lionel_Messi	Wayne_Gretzky	Lionel_Messi	Wayne_Gretzky	リオネル・メッシ	ウェイン・グレツキー	Lionel_Messi	Wayne_Gretzky	Месси,_Лионель	Гретцки,_Уэйн
83	2150841	Lionel_Messi	11049	FIFA	68.6	Lionel_Messi	FIFA	لیونل_مسی	فیفا	Lionel_Messi	Fédération_internationale_de_football_association	Lionel_Messi	Fédération_Internationale_de_Football_Association	リオネル・メッシ	国際サッカー連盟	Lionel_Messi	FIFA	Месси,_Лионель	ФИФА
84	60706	National_Collegiate_Athletic_Association	287713	United_States_Olympic_&_Paralympic_Committee	68.6	National_Collegiate_Athletic_Association	United_States_Olympic_Committee	اتحادیه_ملی_ورزش_دانشگاهی	کمیته_المپیک_ایالات_متحده	National_Collegiate_Athletic_Association	Comité_olympique_des_États-Unis	National_Collegiate_Athletic_Association	Comitato_Olimpico_degli_Stati_Uniti	全米大学体育協会	アメリカオリンピック委員会	National_Collegiate_Athletic_Association		Национальная_ассоциация_студенческого_спорта	Олимпийский_и_паралимпийский_комитет_США
85	18603746	Beijing	6613	Yangtze	68.25	Peking	Jangtsekiang	پکن	یانگ‌تسه	Pékin	Yangzi_Jiang	Pechino	Fiume_Azzurro	北京市	長江	Pekin	Jangcy	Пекин	Янцзы
86	31717	United_Kingdom	53228	Eton_College	68.0	Vereinigtes_Königreich	Eton_College	بریتانیا	کالج_ایتن	Royaume-Uni	Collège_d'Eton	Regno_Unito	Eton_College	イギリス	イートン・カレッジ	Wielka_Brytania	Eton_College	Великобритания	Итонский_колледж
