	source_pid	source_ptitle	target_pid	target_ptitle	mean_score	source_ptitle_de	target_ptitle_de	source_ptitle_fa	target_ptitle_fa	source_ptitle_fr	target_ptitle_fr	source_ptitle_it	target_ptitle_it	source_ptitle_ja	target_ptitle_ja	source_ptitle_pl	target_ptitle_pl	source_ptitle_ru	target_ptitle_ru
20	10287	Hirohito	30057	Tokyo	92.0	Hirohito	Präfektur_Tokio	هیروهیتو	توکیو	Hirohito	Tokyo	Hirohito	Tokyo	昭和天皇	東京都	Hirohito	Tokio	Хирохито	Токио
21	9316	England	25978572	University_of_Cambridge	92.0	England	University_of_Cambridge	انگلستان	دانشگاه_کمبریج	Angleterre	Université_de_Cambridge	Inghilterra	Università_di_Cambridge	イングランド	ケンブリッジ大学	Anglia	University_of_Cambridge	Англия	Кембриджский_университет
22	26413	Real_Madrid_CF	68187	FC_Barcelona	91.8333	Real_Madrid	FC_Barcelona	باشگاه_فوتبال_رئال_مادرید	باشگاه_فوتبال_بارسلونا	Real_Madrid_Club_de_Fútbol	FC_Barcelone_(football)	Real_Madrid_Club_de_Fútbol	Futbol_Club_Barcelona	レアル・マドリード	FCバルセロナ	Real_Madryt	FC_Barcelona	Реал_Мадрид_(футбольный_клуб)	Барселона_(футбольный_клуб)
23	21648	New_Jersey	23922	Princeton_University	91.8	New_Jersey	Princeton_University	نیوجرسی	دانشگاه_پرینستون	New_Jersey	Université_de_Princeton	New_Jersey	Università_di_Princeton	ニュージャージー州	プリンストン大学	New_Jersey	Uniwersytet_Princeton	Нью-Джерси	Принстонский_университет
24	534366	Barack_Obama	5043192	Hillary_Clinton	91.6	Barack_Obama	Hillary_Clinton	باراک_اوباما	هیلاری_کلینتون	Barack_Obama	Hillary_Clinton	Barack_Obama	Hillary_Clinton	バラク・オバマ	ヒラリー・クリントン	Barack_Obama	Hillary_Clinton	Обама,_Барак	Клинтон,_Хиллари
25	14532	Italy	301088	Vatican_Hill	91.1667	Italien	Vatikanischer_Hügel	ایتالیا		Italie	Vatican_(colline)	Italia	Colle_Vaticano	イタリア		Włochy	Wzgórze_Watykańskie	Италия	Ватиканский_холм
26	2150841	Lionel_Messi	11049	FIFA	90.6667	Lionel_Messi	FIFA	لیونل_مسی	فیفا	Lionel_Messi	Fédération_internationale_de_football_association	Lionel_Messi	Fédération_Internationale_de_Football_Association	リオネル・メッシ	国際サッカー連盟	Lionel_Messi	FIFA	Месси,_Лионель	ФИФА
27	534366	Barack_Obama	43715	John_McCain	89.6667	Barack_Obama	John_McCain	باراک_اوباما	جان_مک‌کین	Barack_Obama	John_McCain	Barack_Obama	John_McCain	バラク・オバマ	ジョン・マケイン	Barack_Obama	John_McCain	Обама,_Барак	Маккейн,_Джон
28	3301347	Tony_Blair	31717	United_Kingdom	89.6667	Tony_Blair	Vereinigtes_Königreich	تونی_بلر	بریتانیا	Tony_Blair	Royaume-Uni	Tony_Blair	Regno_Unito	トニー・ブレア	イギリス	Tony_Blair	Wielka_Brytania	Блэр,_Тони	Великобритания
29	25433	Ronald_Reagan	534366	Barack_Obama	89.5	Ronald_Reagan	Barack_Obama	رونالد_ریگان	باراک_اوباما	Ronald_Reagan	Barack_Obama	Ronald_Reagan	Barack_Obama	ロナルド・レーガン	バラク・オバマ	Ronald_Reagan	Barack_Obama	Рейган,_Рональд	Обама,_Барак
30	16808	King_Arthur	9316	England	88.8333	Artus	England	شاه_آرتور	انگلستان	Roi_Arthur	Angleterre	Re_Artù	Inghilterra	アーサー王	イングランド	Król_Artur	Anglia	Король_Артур	Англия
31	460349	Ralph_Lauren	175855	Karl_Lagerfeld	88.1667	Ralph_Lauren	Karl_Lagerfeld	رالف_لورن	کارل_لاگرفلد	Ralph_Lauren	Karl_Lagerfeld	Ralph_Lauren	Karl_Lagerfeld	ラルフ・ローレン	カール・ラガーフェルド	Ralph_Lauren	Karl_Lagerfeld	Лорен,_Ральф	Лагерфельд,_Карл
32	305	Achilles	1216	Athens	88.0	Achilleus	Athen	آشیل	آتن	Achille	Athènes	Achille	Atene	アキレウス	アテネ	Achilles	Ateny	Ахилл	Афины
33	10979	Franklin_D._Roosevelt	25433	Ronald_Reagan	88.0	Franklin_D._Roosevelt	Ronald_Reagan	فرانکلین_دلانو_روزولت	رونالد_ریگان	Franklin_Delano_Roosevelt	Ronald_Reagan	Franklin_Delano_Roosevelt	Ronald_Reagan	フランクリン・ルーズベルト	ロナルド・レーガン	Franklin_Delano_Roosevelt	Ronald_Reagan	Рузвельт,_Франклин_Делано	Рейган,_Рональд
34	462535	Blue_Ridge_Mountains	468224	Catskill_Mountains	88.0	Blue_Ridge_Mountains	Catskill_Mountains	کوهستان_بلو_ریدج		Montagnes_Blue_Ridge	Montagnes_Catskill	Monti_Blue_Ridge	Monti_Catskill	ブルーリッジ山脈	キャッツキル山地	Pasmo_Błękitne	Catskill_(góry)	Голубой_хребет	Катскилл_(горы)
35	229765	Vatican_Museums	606848	Catholic_Church	87.8	Vatikanische_Museen	Römisch-katholische_Kirche	موزه‌های_واتیکان	کلیسای_کاتولیک	Musées_du_Vatican	Église_catholique	Musei_Vaticani	Chiesa_cattolica	バチカン美術館	カトリック教会	Muzea_Watykańskie	Kościół_katolicki	Музеи_Ватикана	Католическая_церковь
36	308	Aristotle	12108	Greece	87.5	Aristoteles	Griechenland	ارسطو	یونان	Aristote	Grèce	Aristotele	Grecia	アリストテレス	ギリシャ	Arystoteles	Grecja	Аристотель	Греция
37	1259006	River_Kent	49031	River_Thames	87.3333	River_Kent	Themse		تیمز	Kent_(fleuve)	Tamise		Tamigi		テムズ川		Tamiza		Темза
38	33523	Woodrow_Wilson	15992	Jimmy_Carter	86.8333	Woodrow_Wilson	Jimmy_Carter	وودرو_ویلسون	جیمی_کارتر	Woodrow_Wilson	Jimmy_Carter	Thomas_Woodrow_Wilson	Jimmy_Carter	ウッドロウ・ウィルソン	ジミー・カーター	Woodrow_Wilson	Jimmy_Carter	Вильсон,_Вудро	Картер,_Джимми
39	19004	Moscow	63639	Volga	86.8333	Moskau	Wolga	مسکو	رود_ولگا	Moscou	Volga	Mosca_(Russia)	Volga	モスクワ	ヴォルガ川	Moskwa	Wołga	Москва	Волга
40	44849	Brad_Pitt	52711	Leonardo_DiCaprio	86.8	Brad_Pitt	Leonardo_DiCaprio	برد_پیت	لئوناردو_دی‌کاپریو	Brad_Pitt	Leonardo_DiCaprio	Brad_Pitt	Leonardo_DiCaprio	ブラッド・ピット	レオナルド・ディカプリオ	Brad_Pitt	Leonardo_DiCaprio	Питт,_Брэд	Ди_Каприо,_Леонардо
41	5122699	John_Kerry	5058628	Dick_Cheney	86.6	John_Kerry	Dick_Cheney	جان_کری	دیک_چینی	John_Kerry	Dick_Cheney	John_Kerry	Dick_Cheney	ジョン・フォーブズ・ケリー	ディック・チェイニー	John_Kerry	Dick_Cheney	Керри,_Джон	Чейни,_Дик
42	76972	Denmark	9239	Europe	86.5	Dänemark	Europa	دانمارک	اروپا	Danemark	Europe	Danimarca	Europa	デンマーク	ヨーロッパ	Dania	Europa	Дания	Европа
43	964226	Shanghai_Sharks	72895	Phoenix_Suns	86.3333		Phoenix_Suns		فینیکس_سانز	Shanghai_Sharks	Suns_de_Phoenix	Shanghai_Sharks	Phoenix_Suns	上海嗶哩嗶哩籃球倶楽部	フェニックス・サンズ		Phoenix_Suns	Шанхай_Шаркс	Финикс_Санз
44	11225	Ferrari	18271	Lamborghini	86.25	Ferrari	Lamborghini	فراری	لامبورگینی	Ferrari_(entreprise)	Lamborghini	Ferrari	Lamborghini	フェラーリ	ランボルギーニ	Ferrari	Lamborghini	Ferrari	Lamborghini
45	149127	Ferdinand_VII_of_Spain	3932850	Spanish_Armed_Forces	86.0	Ferdinand_VII._(Spanien)	Spanische_Streitkräfte	فرناندو_هفتم	نیروهای_نظامی_اسپانیا	Ferdinand_VII	Forces_armées_espagnoles	Ferdinando_VII_di_Spagna	Fuerzas_Armadas_de_España	フェルナンド7世_(スペイン王)	スペイン軍	Ferdynand_VII	Siły_Zbrojne_Hiszpanii	Фердинанд_VII	Вооружённые_силы_Испании
46	57570	Sachin_Tendulkar	14533	India	86.0	Sachin_Tendulkar	Indien	سچین_تندولکر	هند	Sachin_Tendulkar	Inde	Sachin_Tendulkar	India	サチン・テンドルカール	インド	Sachin_Tendulkar	Indie	Тендулкар,_Сачин	Индия
47	32897	William_Shakespeare	9549	Edgar_Allan_Poe	86.0	William_Shakespeare	Edgar_Allan_Poe	ویلیام_شکسپیر	ادگار_آلن_پو	William_Shakespeare	Edgar_Allan_Poe	William_Shakespeare	Edgar_Allan_Poe	ウィリアム・シェイクスピア	エドガー・アラン・ポー	William_Shakespeare	Edgar_Allan_Poe	Шекспир,_Уильям	По,_Эдгар_Аллан
48	15924	Julius_Caesar	14532	Italy	85.8333	Gaius_Iulius_Caesar	Italien	ژولیوس_سزار	ایتالیا	Jules_César	Italie	Gaio_Giulio_Cesare	Italia	ガイウス・ユリウス・カエサル	イタリア	Gajusz_Juliusz_Cezar	Włochy	Гай_Юлий_Цезарь	Италия
49	16743	Karl_Marx	15641	Joseph_Stalin	85.75	Karl_Marx	Josef_Stalin	کارل_مارکس	ژوزف_استالین	Karl_Marx	Joseph_Staline	Karl_Marx	Iosif_Stalin	カール・マルクス	ヨシフ・スターリン	Karl_Marx	Józef_Stalin	Маркс,_Карл	Сталин,_Иосиф_Виссарионович
50	13041163	Adele	31717	United_Kingdom	85.6667	Adele_(Sängerin)	Vereinigtes_Königreich	ادل	بریتانیا	Adele	Royaume-Uni	Adele_(cantante)	Regno_Unito	アデル_(歌手)	イギリス	Adele	Wielka_Brytania	Адель_(певица)	Великобритания
51	21492751	Nelson_Mandela	2503	African_National_Congress	85.6	Nelson_Mandela	African_National_Congress	نلسون_ماندلا	کنگره_ملی_آفریقا	Nelson_Mandela	Congrès_national_africain	Nelson_Mandela	Congresso_Nazionale_Africano	ネルソン・マンデラ	アフリカ民族会議	Nelson_Mandela	Afrykański_Kongres_Narodowy	Мандела,_Нельсон	Африканский_национальный_конгресс
52	99340	Sergei_Rachmaninoff	9906294	Johann_Sebastian_Bach	85.1667	Sergei_Wassiljewitsch_Rachmaninow	Johann_Sebastian_Bach	سرگئی_راخمانینف	یوهان_سباستیان_باخ	Sergueï_Rachmaninov	Jean-Sébastien_Bach	Sergej_Vasil'evič_Rachmaninov	Johann_Sebastian_Bach	セルゲイ・ラフマニノフ	ヨハン・ゼバスティアン・バッハ	Siergiej_Rachmaninow	Johann_Sebastian_Bach	Рахманинов,_Сергей_Васильевич	Бах,_Иоганн_Себастьян
53	10363	European_Space_Agency	1019722	Indian_Space_Research_Organisation	84.8333	Europäische_Weltraumorganisation	Indian_Space_Research_Organisation	آژانس_فضایی_اروپا	سازمان_پژوهش‌های_فضایی_هند	Agence_spatiale_européenne	Organisation_indienne_pour_la_recherche_spatiale	Agenzia_spaziale_europea	Indian_Space_Research_Organisation	欧州宇宙機関	インド宇宙研究機関	Europejska_Agencja_Kosmiczna	Indyjska_Organizacja_Badań_Kosmicznych	Европейское_космическое_агентство	Индийская_организация_космических_исследований
54	19159283	Seoul	46445426	Samsung_Electronics	84.8333	Seoul	Samsung_Electronics	سئول	سامسونگ_الکترونیک	Séoul	Samsung_Electronics	Seul	Samsung_Electronics	ソウル特別市	サムスン電子	Seul	Samsung_Electronics	Сеул	Samsung_Electronics
55	19008577	William_Shatner	363856	George_Takei	84.1667	William_Shatner	George_Takei	ویلیام_شاتنر	جرج_تاکی	William_Shatner	George_Takei	William_Shatner	George_Takei	ウィリアム・シャトナー	ジョージ・タケイ	William_Shatner	George_Takei	Шетнер,_Уильям	Такэй,_Джордж
56	891158	Condé_Nast	3329087	Virgin_Media	84.0	Condé_Nast-Verlag		کوندی_نست	ویرجین_مدیا	Condé_Nast_Publications	Virgin_Media	Condé_Nast_Publications	Virgin_Media	コンデナスト・パブリケーションズ	ヴァージン・メディア	Condé_Nast_Publications	Virgin_Media	Condé_Nast	Virgin_Media
57	46989	Grand_Canyon	180968	Colorado_River	83.4	Grand_Canyon	Colorado_River	گرند_کنیون	رودخانه_کلرادو	Grand_Canyon	Colorado_(fleuve)	Grand_Canyon	Colorado_(fiume_Colorado)	グランド・キャニオン	コロラド川	Wielki_Kanion_Kolorado	Kolorado_(rzeka)	Большой_каньон	Колорадо_(река)
58	25459	Rocky_Mountains	37966	Himalayas	82.2	Rocky_Mountains	Himalaya	کوه‌های_راکی	هیمالیا	Montagnes_Rocheuses	Himalaya	Montagne_Rocciose	Himalaya	ロッキー山脈	ヒマラヤ山脈	Góry_Skaliste	Himalaje	Скалистые_горы	Гималаи
59	26458	Rosa_Parks	25624937	NAACP	81.6	Rosa_Parks	National_Association_for_the_Advancement_of_Colored_People	رزا_پارکس	انجمن_ملی_پیشرفت_رنگین‌پوستان	Rosa_Parks	National_Association_for_the_Advancement_of_Colored_People	Rosa_Parks	National_Association_for_the_Advancement_of_Colored_People	ローザ・パークス	全米黒人地位向上協会	Rosa_Parks	Krajowe_Stowarzyszenie_na_rzecz_Popierania_Ludności_Kolorowej	Паркс,_Роза	Национальная_ассоциация_содействия_прогрессу_цветного_населения
60	9464813	Mikhail_Bulgakov_Museum	19004	Moscow	80.8333	Michail-Bulgakow-Museum	Moskau		مسکو	Musée_Mikhaïl_Boulgakov	Moscou		Mosca_(Russia)		モスクワ		Moskwa	Дом_Турбиных	Москва
61	12731	George_Harrison	18081	Liverpool	80.8	George_Harrison	Liverpool	جرج_هریسون	لیورپول	George_Harrison	Liverpool	George_Harrison	Liverpool	ジョージ・ハリスン	リヴァプール	George_Harrison	Liverpool	Харрисон,_Джордж	Ливерпуль
62	89659	Aeroflot	145623	Air_Canada	80.8	Aeroflot	Air_Canada	آئروفلوت	ایر_کانادا	Aeroflot	Air_Canada	Aeroflot	Air_Canada	アエロフロート・ロシア航空	エア・カナダ	Aerofłot	Air_Canada	Аэрофлот_—_Российские_авиалинии	Air_Canada
63	284379	Cirque_du_Soleil	440878	New_York_City_Ballet	80.5	Cirque_du_Soleil	New_York_City_Ballet	سیرک_آفتاب		Cirque_du_Soleil	New_York_City_Ballet	Cirque_du_Soleil	New_York_City_Ballet	シルク・ドゥ・ソレイユ	ニューヨーク・シティ・バレエ団	Cirque_du_Soleil	New_York_City_Ballet	Cirque_du_Soleil	Нью-Йорк_Сити_балет
64	61603	Gondor	58644	Nazgûl	80.4	Gondor	Nazgûl	گاندور	نازگول	Gondor	Nazgûl	Gondor	Nazgûl	ゴンドール	指輪の幽鬼	Gondor	Upiory_Pierścienia	Гондор	Назгулы
65	72811	Zhang_Ziyi	18603746	Beijing	80.0	Zhang_Ziyi	Peking	جانگ_زئی	پکن	Zhang_Ziyi	Pékin	Zhang_Ziyi	Pechino	章子怡	北京市	Zhang_Ziyi	Pekin	Чжан_Цзыи	Пекин
66	7955325	University_of_Toronto	31922	University_of_California,_Berkeley	79.5	University_of_Toronto	University_of_California,_Berkeley	دانشگاه_تورنتو	دانشگاه_کالیفرنیا،_برکلی	Université_de_Toronto	Université_de_Californie_à_Berkeley	Università_di_Toronto	Università_della_California,_Berkeley	トロント大学	カリフォルニア大学バークレー校	University_of_Toronto	Uniwersytet_Kalifornijski_w_Berkeley	Торонтский_университет	Калифорнийский_университет_в_Беркли
67	3970	British_Airways	89659	Aeroflot	79.4	British_Airways	Aeroflot	بریتیش_ایرویز	آئروفلوت	British_Airways	Aeroflot	British_Airways	Aeroflot	ブリティッシュ・エアウェイズ	アエロフロート・ロシア航空	British_Airways	Aerofłot	British_Airways	Аэрофлот_—_Российские_авиалинии
68	38965	Cary_Grant	19008577	William_Shatner	79.3333	Cary_Grant	William_Shatner	کری_گرانت	ویلیام_شاتنر	Cary_Grant	William_Shatner	Cary_Grant	William_Shatner	ケーリー・グラント	ウィリアム・シャトナー	Cary_Grant	William_Shatner	Грант,_Кэри	Шетнер,_Уильям
69	265949	Qianlong_Emperor	241636	Cao_Cao	79.2	Qianlong	Cao_Cao	امپراتور_چیان‌لونگ	سائو_سائو	Qianlong	Cao_Cao	Qianlong	Cáo_Cāo	乾隆帝	曹操	Qianlong	Cao_Cao	Цяньлун	Цао_Цао
70	12058019	Hungarian_Natural_History_Museum	36787	Budapest	79.1667	Ungarisches_Naturwissenschaftliches_Museum	Budapest		بوداپست	Musée_hongrois_des_sciences_naturelles	Budapest		Budapest	ハンガリー自然史博物館	ブダペスト		Budapeszt	Венгерский_музей_естественной_истории	Будапешт
71	158984	Harvard_Law_School	67704	London_School_of_Economics	78.8333	Harvard_Law_School	London_School_of_Economics_and_Political_Science	مدرسه_حقوق_هاروارد	مدرسه_اقتصاد_لندن	Faculté_de_droit_de_Harvard	London_School_of_Economics	Harvard_Law_School	London_School_of_Economics_and_Political_Science	ハーバード・ロー・スクール	ロンドン・スクール・オブ・エコノミクス	Harvard_Law_School	London_School_of_Economics	Юридический_факультет_Гарвардского_университета	Лондонская_школа_экономики_и_политических_наук
72	31956	United_Nations_Security_Council	172185	World_Economic_Forum	78.75	Sicherheitsrat_der_Vereinten_Nationen	Weltwirtschaftsforum	شورای_امنیت_سازمان_ملل_متحد	مجمع_جهانی_اقتصاد	Conseil_de_sécurité_des_Nations_unies	Forum_économique_mondial	Consiglio_di_sicurezza_delle_Nazioni_Unite	Forum_economico_mondiale	国際連合安全保障理事会	世界経済フォーラム	Rada_Bezpieczeństwa_Organizacji_Narodów_Zjednoczonych	Światowe_Forum_Ekonomiczne	Совет_Безопасности_ООН	Всемирный_экономический_форум
73	352699	Shah_Rukh_Khan	615942	Abhishek_Bachchan	78.6667	Shah_Rukh_Khan	Abhishek_Bachchan	شاهرخ_خان	آبیشک_باچان	Shahrukh_Khan	Abhishek_Bachchan	Shah_Rukh_Khan	Abhishek_Bachchan	シャー・ルク・カーン	アビシェーク・バッチャン	Shah_Rukh_Khan	Abhishek_Bachchan	Хан,_Шахрух	Баччан,_Абхишек
74	21209639	Danube	49031	River_Thames	78.6	Donau	Themse	دانوب	تیمز	Danube	Tamise	Danubio	Tamigi	ドナウ川	テムズ川	Dunaj	Tamiza	Дунай	Темза
75	5132	Charlize_Theron	129218	Screen_Actors_Guild	78.5	Charlize_Theron	Screen_Actors_Guild	شارلیز_ترون		Charlize_Theron		Charlize_Theron	Screen_Actors_Guild	シャーリーズ・セロン	映画俳優組合	Charlize_Theron	Screen_Actors_Guild	Терон,_Шарлиз	Гильдия_киноактёров_США
76	21241	Norway	76972	Denmark	77.6667	Norwegen	Dänemark	نروژ	دانمارک	Norvège	Danemark	Norvegia	Danimarca	ノルウェー	デンマーク	Norwegia	Dania	Норвегия	Дания
77	63639	Volga	21244	Nile	77.2	Wolga	Nil	رود_ولگا	نیل	Volga	Nil	Volga	Nilo	ヴォルガ川	ナイル川	Wołga	Nil	Волга	Нил
78	139098	Toshiro_Mifune	872	Akira_Kurosawa	76.8333	Toshirō_Mifune	Akira_Kurosawa	توشیرو_میفونه	آکیرا_کوروساوا	Toshirō_Mifune	Akira_Kurosawa	Toshirō_Mifune	Akira_Kurosawa	三船敏郎	黒澤明	Toshirō_Mifune	Akira_Kurosawa	Мифунэ,_Тосиро	Куросава,_Акира
79	23041	Puerto_Rico	5042481	Cuba	76.5	Puerto_Rico	Kuba	پورتوریکو	کوبا	Porto_Rico	Cuba	Porto_Rico	Cuba	プエルトリコ	キューバ	Portoryko	Kuba	Пуэрто-Рико	Куба
80	275519	Matterhorn	42179	Mount_Everest	76.5	Matterhorn	Mount_Everest	ماترهورن	کوه_اورست	Cervin	Everest	Cervino	Everest	マッターホルン	エベレスト	Matterhorn	Mount_Everest	Маттерхорн	Джомолунгма
81	15782	Jane_Austen	9549	Edgar_Allan_Poe	76.4	Jane_Austen	Edgar_Allan_Poe	جین_آستن	ادگار_آلن_پو	Jane_Austen	Edgar_Allan_Poe	Jane_Austen	Edgar_Allan_Poe	ジェイン・オースティン	エドガー・アラン・ポー	Jane_Austen	Edgar_Allan_Poe	Остин,_Джейн	По,_Эдгар_Аллан
82	4345474	American_Red_Cross	581673	American_Heart_Association	76.4	Amerikanisches_Rotes_Kreuz	American_Heart_Association	صلیب_سرخ_آمریکا	انجمن_قلب_آمریکا	Croix-Rouge_américaine	American_Heart_Association	Croce_Rossa_Americana	American_Heart_Association	アメリカ赤十字社	アメリカ心臓協会	Amerykański_Czerwony_Krzyż		Американский_Красный_Крест	Американская_кардиологическая_ассоциация
83	23041	Puerto_Rico	3434750	United_States	76.3333	Puerto_Rico	Vereinigte_Staaten	پورتوریکو	ایالات_متحده_آمریکا	Porto_Rico	États-Unis	Porto_Rico	Stati_Uniti_d'America	プエルトリコ	アメリカ合衆国	Portoryko	Stany_Zjednoczone	Пуэрто-Рико	Соединённые_Штаты_Америки
84	1095706	Jesus	3395	Gautama_Buddha	76.25	Jesus_Christus	Siddhartha_Gautama	عیسی	گوتاما_بودا	Jésus-Christ	Siddhartha_Gautama	Gesù	Gautama_Buddha	イエス・キリスト	釈迦	Jezus_Chrystus	Budda_Siakjamuni	Иисус_Христос	Будда_Шакьямуни
85	5042481	Cuba	18933066	Florida	76.0	Kuba	Florida	کوبا	فلوریدا	Cuba	Floride	Cuba	Florida	キューバ	フロリダ州	Kuba	Floryda	Куба	Флорида
86	352699	Shah_Rukh_Khan	19189	Mumbai	76.0	Shah_Rukh_Khan	Mumbai	شاهرخ_خان	بمبئی	Shahrukh_Khan	Bombay	Shah_Rukh_Khan	Mumbai	シャー・ルク・カーン	ムンバイ	Shah_Rukh_Khan	Mumbaj	Хан,_Шахрух	Мумбаи
87	17888	Leon_Trotsky	11625	Fyodor_Dostoevsky	75.75	Leo_Trotzki	Fjodor_Michailowitsch_Dostojewski	لئون_تروتسکی	فیودور_داستایفسکی	Léon_Trotski	Fiodor_Dostoïevski	Lev_Trockij	Fëdor_Dostoevskij	レフ・トロツキー	フョードル・ドストエフスキー	Lew_Trocki	Fiodor_Dostojewski	Троцкий,_Лев_Давидович	Достоевский,_Фёдор_Михайлович
